epoch: 1	Gen training loss: 0.03377122690528631	Dis training loss: 0.05016230216622353	Train Chamfer Distance: 84.5345687866211	Gen Validation loss: 0.004064203738506454	Dis Validation loss: 0.04985960686954162	Valid Chamfer Distance: 88.21025085449219
epoch: 2	Gen training loss: 0.002295249054674059	Dis training loss: 0.0496825100183487	Train Chamfer Distance: 90.07101440429688	Gen Validation loss: 0.0012568356528476449	Dis Validation loss: 0.052855034974101135	Valid Chamfer Distance: 92.09539031982422
epoch: 3	Gen training loss: 0.0015428136154077947	Dis training loss: 0.0491193718612194	Train Chamfer Distance: 94.3500747680664	Gen Validation loss: 0.00125978653923866	Dis Validation loss: 0.05333837591101861	Valid Chamfer Distance: 95.94569396972656
epoch: 4	Gen training loss: 0.0011660791046451777	Dis training loss: 0.04887384238839149	Train Chamfer Distance: 95.02367401123047	Gen Validation loss: 0.0011968984395585682	Dis Validation loss: inf	Valid Chamfer Distance: 97.28497314453125
epoch: 5	Gen training loss: 0.0008960554292425513	Dis training loss: 0.04866674017906189	Train Chamfer Distance: 96.5072021484375	Gen Validation loss: 0.0004992197322422791	Dis Validation loss: 0.06350403969249198	Valid Chamfer Distance: 98.42412567138672
epoch: 6	Gen training loss: 0.000903138519381173	Dis training loss: 0.048525546312332156	Train Chamfer Distance: 93.20675659179688	Gen Validation loss: 0.00042241212118993536	Dis Validation loss: 0.06142838572995906	Valid Chamfer Distance: 91.38756561279297
epoch: 7	Gen training loss: 0.0007083930000662804	Dis training loss: 0.04827173379063606	Train Chamfer Distance: 89.06195831298828	Gen Validation loss: 0.00047405336133021894	Dis Validation loss: 0.05948357313466354	Valid Chamfer Distance: 88.42059326171875
epoch: 8	Gen training loss: 0.0006291532240575179	Dis training loss: 0.04816478636860848	Train Chamfer Distance: 85.56010437011719	Gen Validation loss: 0.00033326827460007413	Dis Validation loss: 0.06830320003940996	Valid Chamfer Distance: 81.0654296875
epoch: 9	Gen training loss: 0.0005427301856689155	Dis training loss: 0.04797303920984268	Train Chamfer Distance: 84.06501770019531	Gen Validation loss: 0.0003308482839269029	Dis Validation loss: 0.06364368624145762	Valid Chamfer Distance: 84.9926528930664
epoch: 10	Gen training loss: 0.0004881924137007445	Dis training loss: 0.047856631219387054	Train Chamfer Distance: 82.9854736328125	Gen Validation loss: 0.0002714880534514282	Dis Validation loss: 0.05971072024287283	Valid Chamfer Distance: 82.07722473144531
epoch: 11	Gen training loss: 0.0005611041847150773	Dis training loss: 0.04775768768787384	Train Chamfer Distance: 82.06568908691406	Gen Validation loss: 0.0002847176835435765	Dis Validation loss: 0.05988283702962391	Valid Chamfer Distance: 83.85987091064453
epoch: 12	Gen training loss: 0.000684098094701767	Dis training loss: 0.04762494695186615	Train Chamfer Distance: 81.514892578125	Gen Validation loss: 0.0004970489595704358	Dis Validation loss: 0.057298943694355925	Valid Chamfer Distance: 84.46231079101562
epoch: 13	Gen training loss: 0.00047190949274227023	Dis training loss: 0.04750648853182793	Train Chamfer Distance: 79.90484619140625	Gen Validation loss: 0.0003142098376444953	Dis Validation loss: 0.06024757919997199	Valid Chamfer Distance: 80.74720764160156
epoch: 14	Gen training loss: 0.0004675473671522923	Dis training loss: 0.047404200971126555	Train Chamfer Distance: 78.24077606201172	Gen Validation loss: 0.0002977089471143296	Dis Validation loss: 0.06077232924222633	Valid Chamfer Distance: 81.84169006347656
epoch: 15	Gen training loss: 0.00047671887918841093	Dis training loss: 0.0472760479748249	Train Chamfer Distance: 79.40454864501953	Gen Validation loss: 0.0002548186785118072	Dis Validation loss: inf	Valid Chamfer Distance: 77.66936492919922
epoch: 16	Gen training loss: 0.0003562233638367616	Dis training loss: 0.04720253646373749	Train Chamfer Distance: 77.29510498046875	Gen Validation loss: 0.00022588522358830564	Dis Validation loss: 0.05973040038480512	Valid Chamfer Distance: 79.74591827392578
epoch: 17	Gen training loss: 0.00035938713420182464	Dis training loss: 0.04711599317193031	Train Chamfer Distance: 80.70269012451172	Gen Validation loss: 0.0002605127963183978	Dis Validation loss: 0.0627042474270076	Valid Chamfer Distance: 79.27284240722656
epoch: 18	Gen training loss: 0.00037989368592388926	Dis training loss: 0.04703933477401733	Train Chamfer Distance: 78.70335388183594	Gen Validation loss: 0.00026531588028526814	Dis Validation loss: 0.06340685720665316	Valid Chamfer Distance: 79.21582794189453
epoch: 19	Gen training loss: 0.0003974017199361697	Dis training loss: 0.046912598848342896	Train Chamfer Distance: 78.47377014160156	Gen Validation loss: 0.0002631996459205558	Dis Validation loss: 0.05463868230646611	Valid Chamfer Distance: 77.50479125976562
epoch: 20	Gen training loss: 0.00044567367248237133	Dis training loss: 0.0467956465780735	Train Chamfer Distance: 80.06580352783203	Gen Validation loss: 0.00019477413779844034	Dis Validation loss: 0.05966236992710152	Valid Chamfer Distance: 76.09721374511719
epoch: 21	Gen training loss: 0.0004562888795044273	Dis training loss: 0.046771837502717975	Train Chamfer Distance: 75.19457244873047	Gen Validation loss: 0.00100776331245259	Dis Validation loss: 0.06327733492861709	Valid Chamfer Distance: 73.90209197998047
epoch: 22	Gen training loss: 0.00044362172222463416	Dis training loss: 0.04666945466399193	Train Chamfer Distance: 72.48027038574219	Gen Validation loss: 0.00017433776050652526	Dis Validation loss: 0.057633635246246755	Valid Chamfer Distance: 71.3124771118164
epoch: 23	Gen training loss: 0.0005080136011820286	Dis training loss: 0.04657251647114754	Train Chamfer Distance: 73.17388153076172	Gen Validation loss: 0.00033734886925822677	Dis Validation loss: inf	Valid Chamfer Distance: 71.79749298095703
